Filename,Invoice Number,Vendor Name,Total Amount,Date,date_flag,zscore,is_anomaly,anomaly_reason
batch1-0001.jpg,51109338,"Andrews, Kirby and Valdez Becker Ltd",5640.17,04/13/2013,None,0.0,True,Flagged by Isolation Forest
batch1-0002.jpg,12847181,Fitzpatrick and Sons,6860.45,03/03/2012,None,0.0,False,None
batch1-0003.jpg,19471831,Palmer Ltd,44745.59,04/09/2014,None,0.0,True,Flagged by Isolation Forest
batch1-0004.jpg,16273983,"Reyes, Holloway and Lee",819.06,04/01/2017,None,0.0,False,None
batch1-0005.jpg,89969473,Johnson-Martin,797.91,10/29/2016,None,0.0,False,None
batch1-0006.jpg,72128555,Obrien Group,732.34,12/25/2013,None,0.0,False,None
batch1-0007.jpg,11580833,"Wood, Simpson and Summers",5138.35,11/24/2019,None,0.0,False,None
batch1-0008.jpg,74589240,Hall-Boyd,12973.88,12/08/2013,None,0.0,True,Flagged by Isolation Forest
batch1-0009.jpg,81978187,Padilla-Miller,124.79,01/17/2013,None,0.0,False,None
batch1-0010.jpg,99314100,"Michael, Farrell and Lee",6573.33,06/25/2014,None,0.0,False,None
batch1-0011.jpg,68688408,Torres and Sons,91.27,03/20/2016,None,0.0,False,None
batch1-0012.jpg,13407985,"Nicholson, Miller and Webster",5459.75,11/22/2013,None,0.0,False,None
batch1-0013.jpg,57986024,Schmidt LLC,237.29,10/17/2015,None,0.0,False,None
batch1-0014.jpg,77596491,"Tran, Hurst and Rodgers",22.68,01/31/2021,None,0.0,False,None
batch1-0015.jpg,46506594,Porter-Perkins,1335.86,03/12/2012,None,0.0,False,None
batch1-0016.jpg,44456646,Austin and Sons,316.1,03/21/2015,None,0.0,False,None
batch1-0017.jpg,98858130,"Dominguez, Jackson and Steele",442.07,01/28/2021,None,0.0,False,None
batch1-0018.jpg,36187296,"Lopez, Murray and Johnston",518.8,01/05/2017,None,0.0,False,None
batch1-0019.jpg,56908352,"Lozano, Wang and Smith",188.11,01/11/2015,None,0.0,False,None
batch1-0020.jpg,15001300,"Kerr, Ryan and Gomez",327.08,02/18/2014,None,0.0,False,None
batch1-0021.jpg,96430839,"Bennett, Chavez and Vazquez",4958.16,01/13/2019,None,0.0,False,None
batch1-0022.jpg,37877758,Holmes-Whitney,47320.32,07/02/2014,None,0.0,True,Flagged by Isolation Forest
batch1-0023.jpg,33102457,Harris LLC,18281.24,09/18/2018,None,0.0,True,Flagged by Isolation Forest
batch1-0024.jpg,65028137,"Johnson, Barrett and King",98.95,01/03/2014,None,0.0,False,None
batch1-0025.jpg,22083742,"Smith, Schaefer and Gonzalez",7920.0,03/01/2014,None,0.0,False,None
batch1-0026.jpg,51295021,Sims-Olson,9256.59,01/05/2017,None,0.0,False,None
